year,urbanslum,SP.POP.TOTL,SP.POP.GROW,AG.SRF.TOTL.K2,NY.GNP.ATLS.CD,NY.GNP.PCAP.CD,NY.GNP.MKTP.PP.CD,NY.GNP.PCAP.PP.CD,SP.DYN.LE00.IN,SP.DYN.TFRT.IN,SP.ADO.TFRT,SH.DYN.MORT,SH.STA.MALN.ZS,SH.IMM.MEAS,SE.PRM.CMPT.ZS,SE.SEC.ENRR,SE.ENR.PRSC.FM.ZS,AG.LND.FRST.K2,ER.GDP.FWTL.M3.KD,EN.ATM.CO2E.PC,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GDP.DEFL.KD.ZG,NV.AGR.TOTL.ZS,NV.IND.TOTL.ZS,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,NE.GDI.TOTL.ZS,CM.MKT.LCAP.GD.ZS,MS.MIL.XPND.GD.ZS,IT.CEL.SETS.P2,TG.VAL.TOTL.GD.ZS,BM.TRF.PWKR.CD.DT,BX.KLT.DINV.CD.WD,DT.ODA.ODAT.PC.ZS,FP.CPI.TOTL.ZG,BX.KLT.DINV.WD.GD.ZS,BM.KLT.DINV.WD.GD.ZS,BM.KLT.DINV.CD.WD,FM.LBL.BMNY.GD.ZS,FS.AST.CGOV.GD.ZS,EN.ATM.CO2E.KD.GD,EN.ATM.CO2E.PP.GD.KD,EN.ATM.CO2E.PP.GD,NY.GDP.COAL.RT.ZS,SH.XPD.CHEX.GD.ZS,FS.AST.PRVT.GD.ZS,FD.AST.PRVT.GD.ZS,SH.XPD.GHED.GD.ZS,GC.XPN.TOTL.GD.ZS,NE.RSB.GNFS.ZS,NY.GDP.FRST.RT.ZS,NY.GDP.MKTP.KD,NY.GDP.PCAP.KD,NY.GDP.PCAP.KD.ZG,NY.GDP.PCAP.PP.KD,NY.GDP.PCAP.PP.CD,SL.GDP.PCAP.EM.KD,NY.GDP.MKTP.PP.KD,NY.GDP.MKTP.PP.CD,NE.CON.GOVT.ZS,SE.XPD.TOTL.GD.ZS,NY.GDS.TOTL.ZS,NE.GDI.FTOT.ZS,NY.GNS.ICTR.ZS,NE.CON.PRVT.ZS,NV.IND.MANF.ZS,NY.GDP.MINR.RT.ZS,FM.AST.PRVT.GD.ZS,NY.GDP.NGAS.RT.ZS,GC.NLD.TOTL.GD.ZS,NY.GDP.PETR.RT.ZS,BX.TRF.PWKR.DT.GD.ZS,NV.SRV.TOTL.ZS,NY.GDP.TOTL.RT.ZS,NE.TRD.GNFS.ZS,BG.GSR.NFSV.GD.ZS,MS.MIL.XPND.ZS,MS.MIL.XPND.CD,NV.IND.MANF.KD.ZG,SP.DYN.LE00.FE.IN,SP.DYN.LE00.MA.IN,SH.MMR.RISK.ZS,SH.MMR.RISK,EG.CFT.ACCS.UR.ZS,EG.ELC.ACCS.UR.ZS,SH.STA.ODFC.UR.ZS,SH.H2O.BASW.UR.ZS,SH.STA.BASS.UR.ZS,SH.H2O.SMDW.UR.ZS,SH.STA.SMSS.UR.ZS,EN.URB.LCTY.UR.ZS,EN.URB.MCTY.TL.ZS,SP.URB.TOTL,SP.URB.TOTL.IN.ZS,SP.URB.GROW,NE.EXP.GNFS.KD.ZG,NE.CON.TOTL.KD.ZG,NY.GDP.PCAP.CD,SI.POV.GAPS,SI.POV.LMIC.GP,SI.POV.UMIC.GP,SI.POV.DDAY,SI.POV.LMIC,SI.POV.UMIC
2000,31.2,6144322697,1.353301754,134042279,3.38E+13,5494.779689,4.89E+13,7954.27382,67.70040223,2.718464857,64.43682273,76.3,20.48428535,72.12334207,81.94934082,59.92760086,0.921270013,41459274.92,13.89140568,3.950222213,3.38E+13,4.51495667,5.195405208,3.38336842,27.78297475,23.58347878,23.49176596,24.34848857,100.7015464,2.207584591,12.04521207,38.80300605,1.16E+11,1.57E+12,7.913760656,3.433515634,4.609009194,4.050762311,1.40E+12,99.26727256,21.17015132,0.502025811,0.355609767,0.493429512,0.07276838,8.624432322,135.1057684,81.20204614,4.955117881,23.73259424,0.091712822,0.142904166,4.83E+13,7868.563973,3.119439487,11108.3063,8005.64643,26425.40139,6.83E+13,4.92E+13,15.90993094,3.853990078,24.35698049,23.76995251,25.6843884,59.75500307,18.18872892,0.073517183,81.34227039,0.395458411,0.107828207,1.5633199,0.37219541,63.58147444,2.24796804,50.70245126,9.236955278,5.447668335,7.42E+11,6.380080436,70.08513576,65.47306435,0.858830919,120,76.15884435,94.93831973,5.176563135,95.05536419,77.58351888,84.52416845,44.68912758,16.66785072,20.18336222,2866001986,46.65785203,2.187738924,11.84489768,4.018762743,5507.448927,9.8,22.9,41,29.3,51.1,68.9
2001,30.98854239,6226339538,1.334839413,134042675.2,3.41E+13,5470.206561,5.13E+13,8238.270442,68.05223655,2.680648478,63.82538407,73.8,19.99288177,72.78019355,82.75843811,60.31307983,0.924700022,41407133.15,14.09983959,3.957243233,3.36E+13,2.009203206,3.809356937,3.369631087,26.85683259,22.99254049,23.03320878,23.54732337,88.10067682,2.244431195,15.47538747,37.57428026,1.25E+11,8.96E+11,8.157364246,3.836572621,2.660637895,2.414062097,8.40E+11,95.51658541,18.71112648,0.499593401,0.352852041,0.477783938,0.152320402,9.011767423,124.011091,72.66758695,5.175898657,24.75627213,-0.040668281,0.136176305,4.93E+13,7920.927747,0.665480694,11215.02152,8282.495323,26699.29057,6.98E+13,5.16E+13,16.2926976,4.020319939,23.39484822,23.3152138,24.98258461,60.32663519,17.16016001,0.062724741,72.74419795,0.429969709,-0.925338183,1.175525488,0.405622698,64.55818701,1.956716645,49.61563309,9.365250976,6.724450089,7.55E+11,-1.139905926,70.50702057,65.76401605,0.850205509,120,76.38930493,94.64991901,4.968955457,95.10325418,77.94380995,84.45507477,44.774606,16.59709025,20.38515423,2931982375,47.10308459,2.302175271,0.634965688,2.900407357,5400.263499,9.4,22.2,40.3,28.3,50.2,68.3
2002,30.9,6308092739,1.313021889,134043101.2,3.42E+13,5424.922271,5.37E+13,8506.600002,68.33320067,2.653749893,61.90761418,71.2,19.57118797,72.28141749,83.42601776,61.19717026,0.927450001,41354991.39,14.1950655,3.96321694,3.49E+13,2.304827672,3.554213255,3.329855677,26.37387303,23.24629176,23.04630842,22.93724844,72.36721304,2.346838957,18.50667976,37.78226935,1.39E+11,7.52E+11,9.616737109,2.90799857,2.139752971,1.86133306,6.53E+11,96.25712192,19.77936706,0.495496892,0.348640896,0.462615273,0.092409794,9.354117107,121.1386655,72.91049772,5.371767973,25.00065007,0.199983339,0.144859433,5.05E+13,7998.469822,0.97895193,11367.61919,8566.982483,27110.48743,7.17E+13,5.40E+13,16.6907099,3.878530025,23.00613186,22.6465949,24.76027703,60.31742913,16.72532574,0.063226295,72.99523228,0.318514142,-2.328003171,1.156578,0.451922517,65.0190497,1.775587664,49.42803184,9.771259657,6.84857724,8.16E+11,1.434751438,70.78008748,66.05095731,0.808943403,120,76.65180954,94.96900289,4.758753663,95.15012412,78.29947875,84.61449363,44.84976625,16.52565928,20.55048834,3001375881,47.59284636,2.366777733,2.752486291,2.798017001,5535.408911,8.8,21.3,39.2,26.9,48.8,67.4
2003,30.19916933,6389383352,1.288671812,134043556.7,3.72E+13,5819.231379,5.67E+13,8869.717587,68.60680213,2.630041863,60.07025874,68.5,19.20275116,73.81921512,84.15605927,62.18825912,0.944840014,41302849.62,14.50286549,4.089216214,3.92E+13,3.109626536,3.922617021,3.318305628,26.37693455,23.99824172,23.82393085,23.15428089,84.61374624,2.407493339,22.20290488,39.34152412,1.53E+11,7.37E+11,10.97721469,3.025045263,1.860544426,1.815907289,7.26E+11,97.06087389,20.04485177,0.502220951,0.351373387,0.457500307,0.085334407,9.507002506,124.9065549,74.4728106,5.504559591,25.25466083,0.174310878,0.167437061,5.20E+13,8142.265285,1.797787147,11637.80858,8938.171528,27750.58285,7.44E+13,5.71E+13,16.94420212,4.117280006,23.13052082,22.73370198,25.16508743,59.93545345,16.57774042,0.062591062,74.59835165,0.432813572,-2.969463988,1.249957851,0.495403457,64.81007852,1.998133953,51.18149562,9.76506673,6.892057655,9.53E+11,3.707369521,71.0732966,66.30626295,0.737344615,140,76.96794067,95.13505405,4.568747533,95.19838972,78.65657732,84.53302129,45.59567867,16.45214087,20.72461836,3071458625,48.08434426,2.335020563,4.443549992,2.779844355,6127.699308,8.2,20.4,38.4,25.6,47.7,66.9
2004,30.1,6470821068,1.274578649,134077681.7,4.29E+13,6631.735596,6.13E+13,9473.274284,68.86233356,2.621404724,57.05644835,66,18.83363533,75.66896503,84.68312073,63.17916107,0.945909977,41250707.85,15.19886373,4.226037115,4.41E+13,4.471240675,5.515212386,3.358130709,26.77211058,25.87132333,25.59866989,23.84274378,88.91837583,2.406267664,27.26403543,42.48263581,1.75E+11,1.01E+12,12.14654347,3.517999031,2.228346229,2.700857624,1.20E+12,95.86639713,19.23975882,0.503143367,0.350006002,0.442942757,0.307791859,9.39351498,124.6957188,75.46358609,5.497394344,24.76406568,0.272653442,0.134233106,5.44E+13,8399.270256,3.156430832,12074.1847,9540.819998,28693.44465,7.81E+13,6.17E+13,16.80995737,3.943514943,24.03104438,23.09640521,26.41941365,59.16814537,16.45553766,0.108350789,75.59030008,0.390588275,-2.417350536,1.575694435,0.50406439,64.14147878,2.516658465,54.63330277,10.49314966,6.985496855,1.08E+12,5.545647567,71.32935716,66.56016026,0.758021809,130,77.35675496,95.10761281,4.372810229,95.24364123,79.0387217,84.45554787,46.4070701,16.37807274,20.90374672,3142901966,48.58341753,2.326039505,10.23923719,3.547008363,6818.898432,7.4,19.1,37,23.7,45.9,65.6
2005,29.40979627,6552571570,1.263371389,134079638,4.81E+13,7344.569473,6.60E+13,10075.17992,69.19868389,2.603162693,53.38632852,63.1,18.42570114,77.05191264,85.466362,64.1115036,0.950500011,41198566.08,15.68540385,4.329602462,4.78E+13,4.004597144,5.80054673,3.237167689,27.2563201,27.16581766,26.81350183,24.23653761,92.28644633,2.397551085,33.72468104,44.68165785,1.90E+11,1.56E+12,16.33633792,4.107250707,3.280400512,2.935250154,1.42E+12,95.14542322,17.49778578,0.501887423,0.347393178,0.426577132,0.255709446,9.318691234,125.329939,76.96305267,5.445337716,25.11998595,0.352315829,0.132429916,5.65E+13,8626.640683,2.707025964,12463.11884,10149.63564,29524.10299,8.17E+13,6.65E+13,16.66761654,3.984870076,24.53127436,23.60288876,26.95488311,58.81123108,16.26334835,0.199423843,77.09456689,0.477941029,-1.830306031,2.173969002,0.541392872,63.63287873,3.239473237,56.68673797,11.03919936,7.034369586,1.16E+12,3.650399651,71.69235149,66.87184852,0.737212907,140,77.7303619,95.27169567,4.167986287,95.30878423,79.44775079,84.36834446,46.98066961,16.30471653,21.08946619,3215717849,49.08869117,2.316835962,6.985805914,3.741794176,7292.452713,6.6,17.8,35.5,21.7,43.8,64.1
2006,29.2,6634935638,1.256973192,134079943.6,5.20E+13,7830.134428,7.26E+13,10944.39717,69.57116591,2.595286001,51.88139334,60.5,18.01128769,78.76237736,85.93443298,65.29885101,0.954280019,41180008.31,16.03814259,4.417019486,5.18E+13,4.4204254,5.419860934,3.217862925,27.7668052,28.89731099,28.3102017,24.83009881,105.772999,2.366591181,41.50412146,47.44375408,2.17E+11,2.20E+12,15.9017403,4.267174634,4.252599398,4.126537414,2.15E+12,95.91233003,15.66284124,0.496508959,0.341512087,0.402416814,0.271641788,9.246219057,127.9511657,79.21661125,5.401781713,24.89855866,0.587109287,0.141263426,5.90E+13,8896.152645,3.124182077,12933.7135,10976.22995,30472.34233,8.58E+13,7.28E+13,16.51914279,3.982189894,25.39338445,23.99779952,28.16112426,58.09855114,16.22893703,0.355745631,79.35276567,0.389014927,-1.056010247,2.376675408,0.578430801,62.93038922,3.53434118,58.94764175,11.44138921,7.076406179,1.21E+12,5.601420766,72.08534669,67.22419217,0.685289438,150,78.23469835,95.50161171,3.958401049,95.35641706,79.87909821,84.29332603,47.80671015,16.24355271,21.28282632,3289337823,49.58913934,2.289379151,8.743293667,3.403562793,7804.160506,6.3,17.1,34.6,20.9,42.6,62.9
2007,28.62042322,6717641730,1.246524405,134080025.7,5.60E+13,8343.533377,7.85E+13,11682.35616,69.83523813,2.594260958,51.89191205,58,17.57307625,79.34062728,86.8991394,66.95874023,0.958429992,41128320.55,16.55419315,4.527571017,5.83E+13,4.381900771,5.783010719,3.389336732,27.83105296,29.8142371,29.14653796,25.2805674,113.6432836,2.331922026,50.17789287,48.62714901,2.61E+11,3.13E+12,15.87290896,4.810237043,5.326041894,5.42210943,3.20E+12,96.18692572,14.3460343,0.493648666,0.337159017,0.385650275,0.301387653,9.07626864,128.1833845,82.0538272,5.331758102,24.77925006,0.667699139,0.167337626,6.16E+13,9171.646416,3.096774318,13428.59243,11740.09538,31487.64121,9.02E+13,7.89E+13,16.47175297,4.033420086,25.93847798,24.23214316,27.99872027,57.59797925,16.19776487,0.537204567,82.14838417,0.341990889,-0.867615616,2.280089166,0.613227163,62.55309011,3.6280099,59.33420438,12.06638763,6.901272326,1.34E+12,4.382029286,72.36904262,67.47115364,0.673133369,150,78.85682977,95.65730844,3.751961518,95.41104511,80.34134773,84.22002574,48.70001407,16.18129615,21.47898702,3363570859,50.08389293,2.256777503,6.653420353,4.068595198,8685.986961,5.8,16.2,33.3,19.6,40.8,61.4
2008,28.2,6801408360,1.246964833,134279511.7,6.08E+13,8941.999894,8.29E+13,12185.57353,70.00619996,2.593597508,52.9676744,55.7,17.11533928,80.8986407,88.45117188,68.58643341,0.965240002,41076632.78,16.6101549,4.504271524,6.41E+13,2.069175771,7.860966092,3.556016152,28.16125489,31.01120003,30.4182926,25.28254629,55.9297697,2.391227267,59.25681433,51.07196916,3.18E+11,2.48E+12,18.32776316,8.949953354,3.791808384,4.011444647,2.60E+12,99.71678774,13.97529992,0.487152195,0.330646253,0.366849626,0.818707534,9.072837068,120.1684634,83.46846168,5.419389873,25.93684456,0.592907431,0.17650251,6.29E+13,9246.127937,0.812084529,13622.62988,12278.25027,31941.74285,9.27E+13,8.35E+13,16.8360056,4.204145193,25.93097139,24.25215079,27.24016684,57.23967453,15.96456403,0.560823864,83.53435219,0.479856591,-2.611601451,2.971338598,0.648024293,62.19674285,5.007229096,60.97481447,12.41614505,6.675978578,1.51E+12,-0.238575989,72.51750941,67.65942229,0.66063182,150,79.52318966,95.68966791,3.544401007,95.46080315,80.80563033,84.14159259,49.61684628,16.14970868,21.69719916,3439970487,50.59058792,2.271384526,3.009797116,2.014580139,9427.548057,5.5,15.6,32.5,18.8,39.7,60.3
